loading raw_datasets successfully

Processing train split with 836 samples:
Finished processing train split.

Processing test split with 29 samples:
Finished processing test split.

Processing validation split with 148 samples:
Finished processing validation split.
{'loss': 3.8946, 'grad_norm': 41.29004669189453, 'learning_rate': 0.000996057350657239, 'epoch': 4.0}
{'eval_loss': 7.889272212982178, 'eval_map': 0.0, 'eval_map_50': 0.0, 'eval_map_75': 0.0, 'eval_map_small': 0.0, 'eval_map_medium': 0.0, 'eval_map_large': 0.0, 'eval_mar_1': 0.0025, 'eval_mar_10': 0.0025, 'eval_mar_100': 0.0025, 'eval_mar_small': 0.0, 'eval_mar_medium': 0.0052, 'eval_mar_large': 0.002, 'eval_map_Coverall': 0.0, 'eval_mar_100_Coverall': 0.0, 'eval_map_Face_Shield': 0.0, 'eval_mar_100_Face_Shield': 0.0, 'eval_map_Gloves': 0.0, 'eval_mar_100_Gloves': 0.0, 'eval_map_Goggles': 0.0, 'eval_mar_100_Goggles': 0.0, 'eval_map_Mask': 0.0, 'eval_mar_100_Mask': 0.0123, 'eval_runtime': 7.1879, 'eval_samples_per_second': 20.59, 'eval_steps_per_second': 2.643, 'epoch': 4.0}
{'loss': 3.7064, 'grad_norm': 18.45454978942871, 'learning_rate': 0.0009958676325014918, 'epoch': 4.1}
{'loss': 3.5325, 'grad_norm': 7.917943000793457, 'learning_rate': 0.0009956734753310353, 'epoch': 4.19}
{'loss': 3.1052, 'grad_norm': 10.731888771057129, 'learning_rate': 0.0009954748808839674, 'epoch': 4.29}
{'loss': 2.9374, 'grad_norm': 8.628615379333496, 'learning_rate': 0.0009952718509381087, 'epoch': 4.38}
{'loss': 3.6801, 'grad_norm': 14.108802795410156, 'learning_rate': 0.0009950643873109862, 'epoch': 4.48}
{'loss': 3.0445, 'grad_norm': 16.37947654724121, 'learning_rate': 0.0009948524918598175, 'epoch': 4.57}
{'loss': 3.6817, 'grad_norm': 13.455509185791016, 'learning_rate': 0.0009946361664814943, 'epoch': 4.67}
{'loss': 3.1901, 'grad_norm': 10.694936752319336, 'learning_rate': 0.0009944154131125641, 'epoch': 4.76}
{'loss': 3.294, 'grad_norm': 13.565252304077148, 'learning_rate': 0.0009941902337292155, 'epoch': 4.86}
{'loss': 3.8042, 'grad_norm': 17.05320167541504, 'learning_rate': 0.0009939606303472567, 'epoch': 4.95}
